,Total edges,Average degree weight=count,Average degree weight=duration(seconds),Average clustering coefficient unweighted,Average clustering coefficient weight=count,Average clustering coefficient weight=duration(seconds),Average betweenness centrality unweighted,Average betweenness centrality weight=count,Average betweenness centrality weight=duration(seconds),Average closseness centrality unweighted,Average closseness centrality weight=count,Average closseness centrality weight=duration(seconds),Newman modularity unweighted,Newman_modularity weight=count,Newman_modularity weight=dration(seconds)
CsCh-2024-07-09--18-14-33,66.0,790.1666666666666,17152.333333333332,1.0,0.33475313519950817,0.34413463829884855,0.0,0.04621212121212121,0.03787878787878788,1.0,0.01824525473526142,0.0008534266878267947,0.0,0.0,0.0
CsCh-2024-07-09--18-14-39,66.0,778.1666666666666,16153.666666666666,1.0,0.38768758167128947,0.309876263136673,0.0,0.03712121212121212,0.051515151515151514,1.0,0.01621130419089881,0.0008527973366510718,0.0,0.0,0.0
CsCh-2024-07-09--18-14-46,66.0,805.6666666666666,16839.833333333332,1.0,0.3596114472387953,0.36037693938950416,0.0,0.06818181818181818,0.07424242424242423,1.0,0.01926981930641353,0.0010399050706205067,0.0,0.0,0.0
CsCh-2024-07-09--18-14-53,66.0,871.6666666666666,17918.166666666668,1.0,0.40169293887458474,0.42004289623208385,0.0,0.04242424242424242,0.04393939393939394,1.0,0.016321664715277285,0.0008226940478988603,0.0,0.0,0.0
CsCh-2024-07-09--18-14-59,66.0,724.8333333333334,14670.333333333334,1.0,0.41886390559076836,0.3239111099180701,0.0,0.04999999999999999,0.06818181818181818,1.0,0.019395789488834084,0.001083758720596446,0.0,0.0,0.0
CsCh-2024-07-09--18-15-06,66.0,778.3333333333334,16187.166666666666,1.0,0.3933241353406695,0.3565036160452764,0.0,0.03484848484848485,0.0393939393939394,1.0,0.017576554632198975,0.0008518038159877192,0.0,0.0,0.0
CsCh-2024-07-09--18-15-12,66.0,827.3333333333334,16466.833333333332,1.0,0.37766880008644965,0.37475571169812727,0.0,0.03939393939393939,0.04090909090909091,1.0,0.01575206721475819,0.000841659490073934,0.0,0.0,0.0
CsCh-2024-07-09--18-15-19,66.0,961.0,18777.666666666668,1.0,0.5229650069100011,0.42105242871830795,0.0,0.035606060606060606,0.04090909090909091,1.0,0.012771505566847523,0.0006898691453871853,0.0,0.0,0.0
CsCh-2024-07-09--18-15-25,66.0,799.8333333333334,16077.666666666666,1.0,0.47475077707247504,0.45281359091659773,0.0,0.02803030303030303,0.03333333333333333,1.0,0.015384438847959448,0.0007739421587910233,0.0,0.0,0.0
CsCh-2024-07-09--18-15-32,66.0,824.5,16619.0,1.0,0.47112629630381436,0.4389432500599026,0.0,0.041666666666666664,0.05909090909090908,1.0,0.01632753640865719,0.0008936576308372638,0.0,0.0,0.0
CsCh-2024-07-09--18-15-38,66.0,836.1666666666666,17672.166666666668,1.0,0.38528320676776046,0.30436096942720137,0.0,0.05303030303030303,0.0606060606060606,1.0,0.01627125814164177,0.0008389714578007348,0.0,0.0,0.0
CsCh-2024-07-09--18-15-45,66.0,810.0,17297.333333333332,1.0,0.3872408328261509,0.33184160238573773,0.0,0.06136363636363636,0.05757575757575758,1.0,0.017920631369371533,0.000854969746847839,0.0,0.0,0.0
CsCh-2024-07-09--18-15-51,66.0,781.6666666666666,15975.833333333334,1.0,0.41847407986915197,0.4323165695161589,0.0,0.04545454545454545,0.05606060606060606,1.0,0.01773286865580733,0.0009060966846633187,0.0,0.0,0.0
CsCh-2024-07-09--18-15-58,66.0,859.5,16901.0,1.0,0.3497667457195599,0.34158256591837755,0.0,0.04545454545454545,0.05454545454545454,1.0,0.016762525274370003,0.0009021428450391488,0.0,0.0,0.0
