node_1,node_2,start_of_interaction,end_of_interaction,duration
11990,11992,26472,26485,13
11990,11992,27342,27354,12
11990,11992,27458,27470,12
11990,11992,27494,27495,1
11990,11992,27497,27510,13
11990,11993,132,144,12
11990,11993,190,201,11
11990,11993,214,237,23
11990,11993,824,841,17
11990,11993,892,897,5
11990,11993,904,905,1
11990,11993,1286,1302,16
11990,11993,1413,1423,10
11990,11993,2814,2831,17
11990,11993,2833,2839,6
11990,11993,3420,3458,38
11990,11993,3467,3488,21
11990,11993,3556,3599,43
11990,11993,3612,3630,18
11990,11993,4412,4504,92
11990,11993,4530,4542,12
11990,11993,4726,4742,16
11990,11993,4823,4825,2
11990,11993,5434,5462,28
11990,11993,5502,5522,20
11990,11993,5638,5648,10
11990,11993,5703,5710,7
11990,11993,5712,5719,7
11990,11993,5732,5738,6
11990,11993,5740,5750,10
11990,11993,5893,5896,3
11990,11993,6706,6732,26
11990,11993,7951,7966,15
11990,11993,7972,7980,8
11990,11993,8024,8049,25
11990,11993,8087,8154,67
11990,11993,8533,8562,29
11990,11993,8655,8661,6
11990,11993,8762,8777,15
11990,11993,9390,9395,5
11990,11993,9397,9400,3
11990,11993,9417,9420,3
11990,11993,9492,9494,2
11990,11993,9593,9596,3
11990,11993,10039,10060,21
11990,11993,10845,10849,4
11990,11993,10897,10937,40
11990,11993,10953,10973,20
11990,11993,11797,11801,4
11990,11993,11836,11837,1
11990,11993,11847,11870,23
11990,11993,11883,11884,1
11990,11993,12905,12918,13
11990,11993,13990,14009,19
11990,11993,14032,14087,55
11990,11993,14100,14135,35
11990,11993,14559,14562,3
11990,11993,14594,14611,17
11990,11993,14861,14872,11
11990,11993,14956,14984,28
11990,11993,15255,15274,19
11990,11993,15304,15321,17
11990,11993,15470,15476,6
11990,11993,15478,15502,24
11990,11993,15720,15723,3
11990,11993,15742,15750,8
11990,11993,15807,15818,11
11990,11993,15831,15835,4
11990,11993,15852,15895,43
11990,11993,16075,16076,1
11990,11993,16079,16097,18
11990,11993,16128,16134,6
11990,11993,16641,16647,6
11990,11993,16831,16836,5
11990,11993,16968,16988,20
11990,11993,18698,18702,4
11990,11993,18735,18748,13
11990,11993,18760,18766,6
11990,11993,19019,19030,11
11990,11993,19109,19119,10
11990,11993,19247,19310,63
11990,11993,20225,20226,1
11990,11993,20228,20229,1
11990,11993,20231,20232,1
11990,11993,20236,20240,4
11990,11993,20244,20276,32
11990,11993,20329,20339,10
11990,11993,20354,20365,11
11990,11993,20588,20618,30
11990,11993,24019,24028,9
11990,11993,25305,25317,12
